aX,aY,aZ,gX,gY,gZ
-0.097,0.310,0.945,18.555,-20.996,-76.050
-0.098,0.270,0.943,19.836,-21.240,-78.369
-0.096,0.229,0.950,19.226,-20.386,-80.627
-0.076,0.201,0.944,19.287,-16.907,-80.078
-0.073,0.176,0.945,20.691,-15.198,-78.979
-0.073,0.177,0.948,22.522,-14.282,-78.369
-0.064,0.205,0.941,25.391,-13.855,-78.247
-0.051,0.196,0.936,26.611,-13.367,-79.346
-0.039,0.159,0.904,24.048,-12.939,-80.688
-0.050,0.136,0.905,18.738,-14.160,-81.909
-0.053,0.118,0.932,12.817,-15.686,-82.947
-0.066,0.089,0.977,10.071,-17.517,-84.534
-0.075,0.056,0.982,11.597,-17.761,-85.815
-0.071,0.051,0.954,16.907,-17.761,-86.853
-0.048,0.041,0.929,22.705,-18.982,-87.952
-0.039,0.038,0.937,21.912,-19.653,-88.562
-0.037,0.012,0.931,20.874,-20.020,-89.783
-0.034,-0.003,0.964,21.729,-21.790,-91.553
-0.046,-0.006,0.959,22.522,-23.071,-92.163
-0.058,-0.024,0.940,23.437,-23.743,-93.140
-0.065,-0.066,0.963,24.170,-25.940,-94.910
-0.059,-0.120,0.995,22.888,-27.161,-95.093
-0.064,-0.156,1.033,21.851,-27.039,-94.238
-0.069,-0.165,1.013,22.156,-24.719,-92.712
-0.064,-0.165,0.987,20.630,-23.071,-91.858
-0.064,-0.158,1.000,17.456,-22.766,-91.003
-0.065,-0.195,1.014,14.587,-22.156,-90.637
-0.053,-0.225,1.028,14.404,-21.484,-90.149
-0.047,-0.249,0.984,14.893,-20.203,-88.562
-0.036,-0.320,0.944,13.672,-19.653,-87.219
-0.036,-0.327,0.966,12.390,-20.874,-84.351
-0.041,-0.338,0.992,15.625,-22.522,-80.261
-0.048,-0.371,1.028,19.592,-22.888,-76.965
-0.039,-0.356,1.076,22.034,-21.790,-73.792
-0.024,-0.347,1.076,24.292,-18.982,-70.740
-0.021,-0.360,1.039,20.081,-14.465,-68.359
-0.027,-0.389,1.050,10.193,-10.742,-66.589
-0.028,-0.457,1.042,4.150,-8.118,-64.697
-0.035,-0.537,1.074,5.127,-8.118,-62.622
