aX,aY,aZ,gX,gY,gZ
0.127,-0.079,0.799,4.150,64.575,0.671
0.155,-0.082,0.734,8.057,63.782,-0.732
0.165,-0.070,0.670,7.324,64.087,-1.587
0.190,-0.083,0.645,3.052,63.660,-2.563
0.194,-0.113,0.622,-2.197,63.110,-3.662
0.192,-0.113,0.634,-8.057,62.317,-3.601
0.212,-0.116,0.668,-9.094,60.303,-4.028
0.224,-0.127,0.647,-4.700,59.143,-4.700
0.220,-0.120,0.565,-0.916,59.753,-4.272
0.246,-0.131,0.537,2.014,57.922,-4.822
0.267,-0.123,0.502,4.944,55.908,-4.944
0.299,-0.096,0.453,4.150,55.176,-4.150
0.328,-0.109,0.420,1.770,53.467,-4.944
0.343,-0.117,0.398,-0.854,51.270,-4.944
0.355,-0.088,0.375,-3.784,48.828,-4.761
0.366,-0.070,0.366,-6.042,45.654,-4.700
0.376,-0.057,0.342,-6.470,41.687,-5.371
0.397,-0.093,0.328,-5.737,36.926,-6.165
0.403,-0.103,0.342,-7.812,32.898,-4.883
0.403,-0.102,0.327,-11.292,30.579,-3.174
0.408,-0.094,0.290,-13.367,28.320,-2.319
0.421,-0.111,0.274,-13.672,24.353,-2.502
0.432,-0.112,0.227,-12.329,20.508,-1.770
0.452,-0.087,0.200,-11.169,16.418,-0.366
0.468,-0.070,0.194,-10.620,11.902,1.038
0.487,-0.048,0.190,-11.047,7.629,2.686
0.513,-0.052,0.208,-9.216,2.625,2.930
0.544,-0.042,0.249,-6.836,-2.197,3.235
0.579,-0.011,0.264,-4.150,-5.066,4.272
0.611,0.019,0.289,-1.160,-7.751,4.517
0.624,0.039,0.286,1.892,-10.132,3.723
0.624,0.062,0.256,4.822,-12.268,2.808
0.619,0.064,0.220,6.470,-15.015,1.038
0.593,0.031,0.188,7.324,-19.592,-1.099
0.557,-0.023,0.169,6.958,-24.902,-2.441
0.520,-0.056,0.188,6.287,-30.884,-2.869
0.479,-0.071,0.221,5.798,-36.926,-2.747
0.428,-0.092,0.251,5.554,-42.175,-2.441
0.381,-0.115,0.310,5.981,-47.729,-2.136
0.332,-0.123,0.356,7.141,-52.063,-0.793
0.301,-0.131,0.414,9.338,-55.725,0.916
0.291,-0.094,0.468,12.024,-59.082,2.625
0.310,-0.033,0.526,16.602,-62.805,2.319
0.342,-0.048,0.564,23.010,-65.369,-0.183
0.362,-0.042,0.572,27.344,-66.040,-2.014
0.376,0.002,0.551,30.457,-66.467,-3.540
0.368,0.014,0.488,33.142,-67.017,-6.897
0.341,-0.010,0.435,31.189,-68.665,-10.742
0.300,-0.069,0.434,26.550,-72.693,-14.282
0.257,-0.107,0.473,23.621,-78.247,-16.785
0.228,-0.148,0.513,24.597,-84.534,-19.104
0.193,-0.192,0.565,26.123,-90.088,-20.752
0.145,-0.226,0.623,26.367,-93.994,-21.240
0.094,-0.241,0.669,24.597,-96.069,-20.996
0.049,-0.242,0.710,21.667,-96.375,-20.935
0.003,-0.239,0.737,18.433,-96.558,-21.179
-0.025,-0.246,0.803,15.564,-97.229,-21.851
-0.036,-0.254,0.870,15.503,-98.328,-22.644
-0.055,-0.272,0.871,18.738,-98.633,-23.865
-0.090,-0.266,0.889,20.325,-99.365,-24.658
-0.122,-0.279,0.936,21.362,-101.074,-26.184
-0.167,-0.287,0.964,22.583,-101.196,-27.222
-0.204,-0.284,0.996,22.766,-100.220,-27.954
